horizon,V,C,avgy
150,-0.0006082021758711992,-0.0005667713401992504,-0.0005556900908266167
151,-0.0006295341217530178,-0.0005879535586594644,-0.0005762344763566038
152,-0.0005964939646042906,-0.0005572885537923069,-0.0005478359026910648
153,-0.0006665119102585701,-0.0006250442084497084,-0.0006135246181457636
154,-0.000660333813403246,-0.0006176638948283364,-0.000603919858555684
155,-0.0006668763809342847,-0.0006249234984085397,-0.0006179594634973018
156,-0.0006435654606742413,-0.0006031066513575118,-0.0005930262979084315
157,-0.0006624213237275466,-0.0006234234021099801,-0.0006286295381552117
158,-0.0006878551765494465,-0.0006499330581916082,-0.000648808977927113
159,-0.0007382982079205331,-0.0007003846299955033,-0.0007059197469259993
160,-0.0007145436691840533,-0.0006764620938340246,-0.0006810241635098007
161,-0.0006930613157893099,-0.0006588992140505901,-0.0006635556288362116
162,-0.0006814816216992962,-0.0006486866096557858,-0.0006539632529507477
163,-0.0006521604561884201,-0.0006186913226494724,-0.0006250733303954586
164,-0.0006672519556218484,-0.0006373609407539221,-0.000636177661139538
165,-0.0007515441839003562,-0.0007126342808255684,-0.000712400875887576
166,-0.0006994550984034494,-0.000660752666620663,-0.000662662855171374
167,-0.0006815185631241271,-0.0006436734038592631,-0.0006501275313386504
168,-0.0006648131307591698,-0.0006285073108965426,-0.0006371698452961272
