horizon,V,C,Y_1,N_1
89,-0.021420377124919808,-0.016007055874238695,-0.033085676664933485,-0.016872023048681115
90,-0.012732604097515502,-0.010660297071916324,-0.05644172899708516,-0.012127017684505201
91,-0.012455931593953619,-0.011744250521613748,-0.061957844890616946,-0.015124488142702308
92,-0.010471544845287197,-0.011168706276839073,-0.06033916195142547,-0.021166152539135178
93,-0.00249243869899403,-0.0065546133549254215,-0.061328426690680636,-0.01818602761027028
94,-0.00875200843289178,-0.012724689970067846,-0.044050666571996994,-0.02085287734468529
95,-0.01983203437504148,-0.018440271530234375,-0.02595873435215595,-0.02259601823004064
96,-0.03358742993240666,-0.024287105057981852,-0.00950927318488345,-0.02132022659583749
97,-0.04027201984450027,-0.022211286562491595,-0.01999177948264097,-0.013492104682210987
98,-0.04347674585152107,-0.018849137199120753,-0.026765787147281866,-0.004583708529448692
99,-0.04936527059247024,-0.022317417248712,-0.016979937110910785,-9.673608565153166e-05
100,-0.040137354398946286,-0.015959848543004074,-0.016856842558867737,0.005446148996916086
101,-0.03642598271752,-0.013628256066826905,-0.008255509742961747,0.010799501307721211
102,-0.03086608414662854,-0.011688500036345039,0.004419577470778648,0.010415921648812207
103,-0.02692649507548853,-0.01491445138315037,0.019704493754940603,-0.0008224476038560433
104,-0.0226149340754721,-0.018454237552878415,0.007563873934397344,-0.018283934615465264
105,-0.019155450345797343,-0.022826241368966018,0.012490501915875545,-0.03034122097615025
106,-0.01858854910353516,-0.02715545785300787,0.018254781136966096,-0.03949712296939416
107,-0.016422922368059104,-0.024517054179933617,0.0052577322797217226,-0.03547806272404666
108,-0.016978713703086852,-0.024130555758651383,-0.005279091041737111,-0.0311516250752057
109,-0.018108043763599736,-0.02181503385689113,-0.00370891401861385,-0.02784966057535341
110,-0.024386122581089735,-0.021480236806488473,-0.004360792638347415,-0.01676242655364822
111,-0.026270969411124064,-0.019814530223343653,-0.007071627093045515,-0.011047166690233432
112,-0.025054737175928595,-0.018974304395302836,-0.012890689560886662,-0.013364214559843402
113,-0.01757743661369537,-0.014719667610160204,-0.01780737706291005,-0.014898566067736032
114,-0.014217176067270179,-0.012545296802432366,-0.028684839343968902,-0.016980433230314756
115,-0.014050974148086606,-0.011354229063606345,-0.04501049097819073,-0.013479877534140684
116,-0.012019720723353227,-0.011805452393221776,-0.05581788423531437,-0.015244835288357957
117,-0.009243723063307244,-0.012571058019272639,-0.06586866461932436,-0.014526982278063847
118,-0.0005382402312002553,-0.009589279541459973,-0.06816421024511911,-0.01462727824023369
119,-0.008306140052148381,-0.01612296354877932,-0.04964252839054459,-0.019359973341913774
120,-0.02416020204190333,-0.027389127848574942,-0.036626237740902026,-0.02460618313418151
121,-0.03199405046600598,-0.02848886848584012,-0.027076586318976584,-0.028146270915275634
122,-0.03747610908827487,-0.026696530408660143,-0.031693453985190065,-0.024282227625720566
123,-0.04347298038563334,-0.024301922492930155,-0.029394158599995234,-0.01627382218944031
124,-0.04156760448129925,-0.02565625319227483,-0.020974570292591838,-0.009572111535966035
125,-0.028973815482931004,-0.018909873370651163,-0.012492806230339503,-0.003485475452874253
126,-0.023945546120462062,-0.015615779133073281,-0.0020737883205451334,-0.00047325142313514693
127,-0.025948127994767266,-0.018929794127859136,0.013400582728324246,-0.0008626410119842732
128,-0.02644243649198554,-0.020987892953012118,0.02985030061231324,-0.009054180238913745
129,-0.01936758663076574,-0.019815384899696697,0.024101424899720413,-0.01580190089788521
130,-0.01643315551027282,-0.02280528053262331,0.022402993054047336,-0.023693267585574742
131,-0.018417773601188125,-0.026746730840582753,0.018531337421324356,-0.029470211479056947
132,-0.013342109096497839,-0.02379966640350802,0.005597880220546907,-0.02843553646869669
133,-0.013375745167910728,-0.019056738184580067,-0.009508859747362947,-0.025714063911845813
134,-0.010957536243656965,-0.013610466759139803,-0.014323440330371764,-0.023515586556568276
135,-0.016719811646208126,-0.013213904819450903,-0.014703660555930018,-0.014950751310890433
136,-0.026852681492366876,-0.019703343169804006,-0.018970131812363025,-0.009406610644140131
137,-0.025557273721692815,-0.020486705504373776,-0.017063930797791116,-0.017832889436696586
138,-0.018263221991316116,-0.014296763367188126,-0.027231964583870703,-0.025419457397948705
139,-0.017186536842827345,-0.014261770305085462,-0.034199680386998804,-0.024529226850356526
140,-0.00858304353593371,-0.008793776702688706,-0.06028951579125626,-0.018088966115376963
141,-0.0060657034147181665,-0.008186079609020472,-0.0671582794333524,-0.017234397968507474
142,-0.0010642031391125757,-0.007766854822665531,-0.08027613562390343,-0.01905312035382142
143,0.0035301524141593127,-0.006756453927233022,-0.0783500172195136,-0.02573469689500644
144,-0.004234441368263277,-0.011432007819950773,-0.054455521085266655,-0.03253020594556107
145,-0.01963166398953845,-0.023781764914502363,-0.02188676280984156,-0.029265783867314404
146,-0.028562013231023364,-0.023975807503155405,-0.013309177685911097,-0.026024423994498433
147,-0.043121019657243506,-0.0286538992062629,-0.01519656054675556,-0.014001916843728375
148,-0.04388124591283805,-0.025884899109255642,-0.019836411765513838,-0.005071377539903728
149,-0.0424477967474554,-0.0259649723667816,-0.010222444446729581,-0.001494855884723181
150,-0.026771695578582316,-0.015977362396765307,-0.008831114604009356,0.003489885625202477
151,-0.022532954931954653,-0.012119286815793183,0.0011588911164397001,0.00389958926115591
152,-0.03173774675976387,-0.01965666345229283,0.019836037686040524,-0.004214749120196362
153,-0.030653189298716868,-0.02049446524382258,0.024395220617823937,-0.005592418644775831
154,-0.020820047529977948,-0.023212446692122607,0.011370484686300333,-0.015955561778505083
155,-0.021570044174915464,-0.028168570145211534,0.012507975223539504,-0.017821326449224444
156,-0.022736248560627757,-0.027984478698472703,0.014518946201103429,-0.026007580706102408
157,-0.01745644747874657,-0.020256715849414856,-0.0006793431426587231,-0.021616566796716617
158,-0.013866417573413151,-0.01566192952987471,-0.02081509048449352,-0.0198461720504285
159,-0.013657683511825712,-0.013702438744221702,-0.02389902703480589,-0.022675513218421664
160,-0.01841727016778752,-0.015112095654067603,-0.023507306049097204,-0.014753300538582818
161,-0.020803382055529496,-0.014068651421673854,-0.020213902994407205,-0.0073604950285489305
162,-0.018572380996794854,-0.017079875663916194,-0.015473336427663327,-0.015501070519347909
163,-0.01590563811805465,-0.015322247032229123,-0.02122105869351619,-0.02520277389115857
164,-0.01345592798924119,-0.013636951389605743,-0.029021633079368562,-0.026836281421316513
165,-0.010999133811060728,-0.010104694373393796,-0.049314224374515894,-0.01697306579773634
166,-0.006856563880563226,-0.008299738207304617,-0.055404924556249104,-0.01670864053603882
167,-0.005888956393189416,-0.008221972728514411,-0.06548146022896162,-0.015438273802254002
168,-0.008490182156041984,-0.014276864149705918,-0.07059320737075328,-0.01849165445838982
